model,image,threshold,tp,fp,fn,gt_pixels,pred_pixels,instances,iou,seconds
packaged,Rissbilder_for_Florian_9S6A2785_493_901_3299_3768.jpg,0.5,4618,3205,4982,9600,7823,9,0.3606403748535728,0.0713980000000447
packaged,Rissbilder_for_Florian_9S6A2787_38_553_3789_4026.jpg,0.1,7057,4565,2073,9130,11622,2,0.5152975538517707,0.05992400000104681
packaged,Rissbilder_for_Florian_9S6A2787_38_553_3789_4026.jpg,0.25,7057,4565,2073,9130,11622,2,0.5152975538517707,0.05992400000104681
packaged,Rissbilder_for_Florian_9S6A2787_38_553_3789_4026.jpg,0.5,7057,4565,2073,9130,11622,2,0.5152975538517707,0.05992400000104681
packaged,Rissbilder_for_Florian_9S6A2796_360_1209_3312_4152.jpg,0.1,6199,3925,1651,7850,10124,1,0.5264543524416135,0.06004779200156918
packaged,Rissbilder_for_Florian_9S6A2796_360_1209_3312_4152.jpg,0.25,6199,3925,1651,7850,10124,1,0.5264543524416135,0.06004779200156918
packaged,Rissbilder_for_Florian_9S6A2796_360_1209_3312_4152.jpg,0.5,6199,3925,1651,7850,10124,1,0.5264543524416135,0.06004779200156918
packaged,Rissbilder_for_Florian_9S6A2798_697_1777_2994_3062.jpg,0.1,6753,3810,2217,8970,10563,4,0.5284037558685446,0.06048570800339803
packaged,Rissbilder_for_Florian_9S6A2798_697_1777_2994_3062.jpg,0.25,6460,3445,2510,8970,9905,3,0.5203383004430124,0.06048570800339803
packaged,Rissbilder_for_Florian_9S6A2798_697_1777_2994_3062.jpg,0.5,6460,3210,2510,8970,9670,2,0.5303776683087028,0.06048570800339803
packaged,Rissbilder_for_Florian_9S6A2800_195_2531_3219_2684.jpg,0.1,2639,1633,460,3099,4272,3,0.5576923076923077,0.06093091699585784
packaged,Rissbilder_for_Florian_9S6A2800_195_2531_3219_2684.jpg,0.25,2637,1627,462,3099,4264,2,0.5579771476936098,0.06093091699585784
packaged,Rissbilder_for_Florian_9S6A2800_195_2531_3219_2684.jpg,0.5,2403,1442,696,3099,3845,1,0.5291785950231227,0.06093091699585784
packaged,Rissbilder_for_Florian_9S6A2802_631_103_2560_2012.jpg,0.1,4479,1417,1291,5770,5896,2,0.6232085710310282,0.05996354200033238
packaged,Rissbilder_for_Florian_9S6A2802_631_103_2560_2012.jpg,0.25,4479,1417,1291,5770,5896,2,0.6232085710310282,0.05996354200033238
packaged,Rissbilder_for_Florian_9S6A2802_631_103_2560_2012.jpg,0.5,4479,1417,1291,5770,5896,2,0.6232085710310282,0.05996354200033238
packaged,Rissbilder_for_Florian_9S6A2806_368_348_2093_2759.jpg,0.1,5575,3442,2952,8527,9017,6,0.46578661542317656,0.062666874997376
packaged,Rissbilder_for_Florian_9S6A2806_368_348_2093_2759.jpg,0.25,5575,3442,2952,8527,9017,6,0.46578661542317656,0.062666874997376
